post_id,title,status,City,Address
12385,"WGN TV",publish,"Chicago, IL","2501 West Bradley Place, Chicago, Illinois 60618, United States"
12394,"WGNO WNOL",publish,"New Orleans, LA","1 Galleria Boulevard, Metairie, LA 70001, USA, Ste 850"
12471,"WHBF KGCW KLJB",publish,"Rock Island, IL","231 18th Street, Rock Island, IL 61201, United States"
12450,WHLT,publish,"Hattiesburg, MS","5219 Hwy 49, Suite A Hattiesburg MS"
12390,"WHNT WHDF",publish,"Huntsville, AL","200 Holmes Avenue Northwest, Huntsville, Alabama 35801, United States"
12388,WHO,publish,"Des Moines, IA","1801 Grand Avenue, Des Moines, Iowa 50309, United States"
12449,WHTM,publish,"Harrisburg, PA","3235 Hoffman Street Harrisburg PA"
12422,WIAT,publish,"Birmingham, AL","2075 Golden Crest Drive Birmingham AL"
12425,"WIVB WNLO",publish,"Buffalo, NY","2077 Elmwood Avenue Buffalo NY"
12421,"WIVT WBGH-CD",publish,"Binghamton, NY","203 Ingraham Hill Rd. Binghamton NY"
12416,WJBF,publish,"Augusta, GA","1336 Augusta West Parkway Augusta GA"
12439,"WJET WFXP",publish,"Erie, PA","8455 Peach Street Erie PA"
12488,WJHL,publish,"Johnson City, TN","338 East Main Street, Johnson City, Tennessee 37601, United States"
12460,WJMN,draft,"Marquette, MI","3165 Wright Street, Suite 101 Marquette MI"
12452,WJTV,publish,"Jackson, MS","1820 TV Road Jackson MS"
12386,"WJW WBNX",publish,"Cleveland, OH","5800 South Marginal Road, Cleveland, Ohio 44103, United States"
12430,"WJZY WMYT",publish,"Charlotte, NC","3501 Performance Road Charlotte NC"
12409,"WKBN WYTV WYFX-LD",publish,"Youngstown, OH","3930 Sunset Blvd. Youngstown, OH 44512"
12463,"WKRG WFNA",publish,"Mobile, AL","555 Broadcast Dr. Mobile AL"
12408,WKRN,publish,"Nashville, TN","441 Murfreesboro Pike, Nashville, TN 37210"
12454,"WLAX WEUX",publish,"La Crosse, WI","1305 Interchange Pl La Crosse WI"
12456,"WLNS WLAJ",publish,"Lansing, MI","2820 East Saginaw Street Lansing MI"
12467,WMBB,publish,"Panama City, FL","613 Harrison Ave Panama City FL"
12468,"WMBD WYZZ",publish,"Peoria, IL","3131 North University Street Peoria IL"
